Start:, 16/09/2012 20:21:54 , HipCenter , , , Spine , , , ShoulderCenter , , , Head , , , ShoulderLeft , , , ElbowLeft , , , WristLeft , , , HandLeft , , , ShoulderRight , , , ElbowRight , , , WristRight , , , HandRight , , , HipLeft , , , KneeLeft , , , AnkleLeft , , , FootLeft , , , HipRight , , , KneeRight , , , AnkleRight , , , FootRight , , , 
0 , 0 , -0.005513139 , -0.01870154 , 3.038058 , -0.008553228 , 0.05228998 , 3.05537 , -0.008704612 , 0.408125 , 3.032259 , 0.002279667 , 0.5697184 , 2.955621 , -0.186 , 0.3183184 , 3.029572 , -0.2920116 , 0.1240867 , 3.031802 , -0.2762833 , -0.04220531 , 2.829012 , -0.2477858 , -0.1173097 , 2.720781 , 0.1709629 , 0.3107436 , 3.075495 , 0.2694377 , 0.08753514 , 3.144396 , 0.3242737 , -0.08424263 , 3.022444 , 0.3424996 , -0.1480541 , 2.939303 , -0.08417609 , -0.09701839 , 3.023438 , -0.1590319 , -0.6235857 , 3.062883 , -0.200605 , -1.04992 , 3.115251 , -0.1908455 , -1.136082 , 3.075812 , 0.07400414 , -0.1020426 , 3.046058 , 0.1202747 , -0.6399519 , 3.089043 , 0.1523574 , -1.065389 , 3.161849 , 0.163589 , -1.119651 , 3.064435 , 
1 , 32 , -0.005244817 , -0.01848858 , 3.037635 , -0.008156185 , 0.05257666 , 3.053153 , -0.008562241 , 0.4079555 , 3.029846 , 0.003092316 , 0.5696564 , 2.954204 , -0.1857401 , 0.3183287 , 3.027367 , -0.2922202 , 0.1240457 , 3.031179 , -0.2765446 , -0.04286718 , 2.828876 , -0.247979 , -0.1175873 , 2.720855 , 0.171531 , 0.3109779 , 3.074641 , 0.2694877 , 0.08767282 , 3.143707 , 0.3231696 , -0.08501295 , 3.022646 , 0.34085 , -0.149382 , 2.939829 , -0.08410992 , -0.09697961 , 3.023442 , -0.1591596 , -0.6244981 , 3.062952 , -0.2006389 , -1.050044 , 3.115483 , -0.2541756 , -1.123539 , 3.087082 , 0.0744914 , -0.101864 , 3.045834 , 0.1204033 , -0.6398885 , 3.089164 , 0.1523674 , -1.065351 , 3.161638 , 0.1374884 , -1.157472 , 3.142492 , 
2 , 68 , -0.005068354 , -0.01823193 , 3.036904 , -0.007830063 , 0.05306084 , 3.05004 , -0.008635499 , 0.4084891 , 3.024837 , 0.01382154 , 0.5774649 , 2.948388 , -0.1847432 , 0.3191646 , 3.025048 , -0.2927316 , 0.1235632 , 3.028525 , -0.277709 , -0.04113437 , 2.8322 , -0.2480495 , -0.1178508 , 2.720731 , 0.1724505 , 0.3110164 , 3.07381 , 0.2697222 , 0.08781429 , 3.143235 , 0.3331912 , -0.1136752 , 3.00536 , 0.3470057 , -0.1768823 , 2.910736 , -0.08404548 , -0.09683992 , 3.023302 , -0.1594751 , -0.6243306 , 3.062839 , -0.2004862 , -1.049852 , 3.114978 , -0.1923733 , -1.130904 , 3.06559 , 0.07468944 , -0.1018127 , 3.045694 , 0.1212851 , -0.641457 , 3.090819 , 0.1523714 , -1.065418 , 3.161606 , 0.2042642 , -1.145107 , 3.167195 , 
3 , 100 , -0.005012149 , -0.01822216 , 3.036536 , -0.007590102 , 0.05314424 , 3.047691 , -0.008772943 , 0.408957 , 3.023205 , 0.01117472 , 0.573919 , 2.947906 , -0.1844971 , 0.3187709 , 3.021974 , -0.2926213 , 0.1235511 , 3.028301 , -0.2777478 , -0.04582397 , 2.824264 , -0.2483009 , -0.1188724 , 2.719602 , 0.1717696 , 0.3117124 , 3.071008 , 0.2699581 , 0.08796051 , 3.142477 , 0.3317439 , -0.1038479 , 3.008539 , 0.3474648 , -0.1792634 , 2.912283 , -0.08400848 , -0.09681109 , 3.023283 , -0.1594695 , -0.6244757 , 3.062986 , -0.2004738 , -1.049822 , 3.114919 , -0.1929297 , -1.129766 , 3.063669 , 0.07475489 , -0.1017483 , 3.045577 , 0.1218802 , -0.6421588 , 3.091746 , 0.1521273 , -1.066077 , 3.162141 , 0.164207 , -1.120858 , 3.065121 , 
4 , 132 , -0.005068148 , -0.01824977 , 3.036156 , -0.007606718 , 0.05309231 , 3.045168 , -0.01044196 , 0.4070931 , 3.018203 , 0.01164334 , 0.5670623 , 2.944135 , -0.1846464 , 0.3183622 , 3.019922 , -0.2931617 , 0.1227654 , 3.024767 , -0.2775618 , -0.04685003 , 2.822228 , -0.2486759 , -0.1194862 , 2.718866 , 0.1721081 , 0.31139 , 3.069346 , 0.2700798 , 0.08826492 , 3.141732 , 0.3291773 , -0.09668514 , 3.01528 , 0.3489588 , -0.1786874 , 2.909545 , -0.08400039 , -0.09683316 , 3.023294 , -0.1593855 , -0.6245947 , 3.063073 , -0.2006336 , -1.049235 , 3.1146 , -0.1927835 , -1.129857 , 3.064469 , 0.07477428 , -0.101756 , 3.045547 , 0.1224682 , -0.6421223 , 3.092863 , 0.1520612 , -1.066033 , 3.162012 , 0.1642027 , -1.121132 , 3.065179 , 
5 , 168 , -0.005047403 , -0.01846165 , 3.035808 , -0.007368932 , 0.0527798 , 3.043126 , -0.009674017 , 0.4065999 , 3.016887 , 0.0115902 , 0.5632534 , 2.94118 , -0.1850218 , 0.3173972 , 3.016859 , -0.2941483 , 0.1222265 , 3.02095 , -0.2778364 , -0.04614187 , 2.822588 , -0.2488611 , -0.1206369 , 2.717619 , 0.1718975 , 0.3111246 , 3.067191 , 0.2705039 , 0.08835999 , 3.139821 , 0.3276077 , -0.09926233 , 3.015353 , 0.3515565 , -0.1820882 , 2.902313 , -0.08400916 , -0.09704673 , 3.023331 , -0.1590907 , -0.6250601 , 3.063258 , -0.1985802 , -1.047942 , 3.11219 , -0.1861989 , -1.103123 , 3.015433 , 0.07478273 , -0.1018164 , 3.045457 , 0.1223597 , -0.643194 , 3.094759 , 0.1519598 , -1.066575 , 3.161899 , 0.1643411 , -1.121756 , 3.065142 , 
6 , 200 , -0.00503555 , -0.01903287 , 3.035363 , -0.006991949 , 0.05198989 , 3.040644 , -0.005639167 , 0.403156 , 3.009095 , 0.006878485 , 0.5622472 , 2.934898 , -0.1837109 , 0.3166837 , 3.012642 , -0.2965393 , 0.1191784 , 3.010679 , -0.2780603 , -0.04573976 , 2.821981 , -0.2492625 , -0.121291 , 2.715406 , 0.1717598 , 0.3113917 , 3.06455 , 0.2703927 , 0.08801205 , 3.138895 , 0.3280755 , -0.09747931 , 3.015359 , 0.3511373 , -0.1830039 , 2.904012 , -0.08404214 , -0.09739202 , 3.023442 , -0.1591054 , -0.6251562 , 3.063342 , -0.1986827 , -1.044407 , 3.107849 , -0.1949053 , -1.135382 , 3.079852 , 0.07461819 , -0.1020809 , 3.045574 , 0.1221274 , -0.6450977 , 3.095761 , 0.1526085 , -1.066515 , 3.162567 , 0.1654362 , -1.122315 , 3.066224 , 
7 , 232 , -0.004796817 , -0.01986319 , 3.035121 , -0.006495875 , 0.05093388 , 3.038677 , -0.005073385 , 0.4012053 , 3.005121 , 0.006150333 , 0.5572603 , 2.93047 , -0.1834704 , 0.3143783 , 3.007766 , -0.2966006 , 0.1168523 , 3.002993 , -0.2788742 , -0.04468069 , 2.822576 , -0.2494266 , -0.12155 , 2.715163 , 0.1721905 , 0.3104265 , 3.06005 , 0.2713225 , 0.08628893 , 3.137203 , 0.3281221 , -0.09696224 , 3.013199 , 0.3489906 , -0.1856301 , 2.901322 , -0.08386882 , -0.09868892 , 3.024231 , -0.1589583 , -0.6255853 , 3.063179 , -0.1987947 , -1.044846 , 3.108111 , -0.1924277 , -1.135043 , 3.078137 , 0.07487096 , -0.1026611 , 3.0459 , 0.1226233 , -0.6454922 , 3.096166 , 0.1533163 , -1.065832 , 3.159486 , 0.1662285 , -1.121939 , 3.063336 , 
8 , 268 , -0.004772412 , -0.02184732 , 3.035284 , -0.0063169 , 0.04887536 , 3.037123 , -0.004413014 , 0.3983451 , 3.001594 , 0.006604423 , 0.5508497 , 2.922213 , -0.1823724 , 0.3108522 , 3.000428 , -0.2982217 , 0.1126571 , 2.997069 , -0.2801898 , -0.05462497 , 2.814909 , -0.2487183 , -0.1270069 , 2.711807 , 0.1729777 , 0.3075432 , 3.056738 , 0.2722693 , 0.07934503 , 3.131738 , 0.3336814 , -0.128123 , 2.972134 , 0.3475811 , -0.1890465 , 2.900358 , -0.08406796 , -0.1009134 , 3.025713 , -0.1585285 , -0.6258638 , 3.062936 , -0.1986416 , -1.044914 , 3.105888 , -0.1891491 , -1.134399 , 3.074631 , 0.07483115 , -0.104914 , 3.047354 , 0.1227666 , -0.645605 , 3.096045 , 0.1542504 , -1.065803 , 3.159992 , 0.1682627 , -1.122243 , 3.064188 , 
9 , 300 , -0.005265717 , -0.02542691 , 3.036768 , -0.006312371 , 0.04529562 , 3.036225 , -0.001690795 , 0.389688 , 2.991879 , 0.01032593 , 0.5444868 , 2.918124 , -0.178676 , 0.3062134 , 2.993796 , -0.2976805 , 0.1011796 , 2.98229 , -0.279502 , -0.08160768 , 2.802292 , -0.2521513 , -0.1393918 , 2.717106 , 0.1779422 , 0.2990829 , 3.051808 , 0.2742938 , 0.07224379 , 3.126823 , 0.3335756 , -0.1285218 , 2.982175 , 0.3470949 , -0.1921462 , 2.897837 , -0.08565769 , -0.1055996 , 3.030551 , -0.1582801 , -0.6289411 , 3.062389 , -0.2015878 , -1.045294 , 3.104395 , -0.1610308 , -1.130123 , 3.119704 , 0.0739865 , -0.1091239 , 3.051578 , 0.1226379 , -0.6458893 , 3.095868 , 0.1546441 , -1.064265 , 3.154626 , 0.1688983 , -1.121762 , 3.059486 , 
